text,label,google,our model,our=google,our currect
但他有說錯嗎????,0,0,0,1,1
造謠抹黑一條龍,0,0,0,1,1
只要是外國人的臉，都算是外國記者,1,0,0,1,0
笑死 民進党很會,0,1,0,0,1
不講還以為是中國的新聞呢,0,0,0,1,1
台灣工安 嘻嘻,0,1,1,1,0
不敢走在路上惹QQ,0,0,0,1,1
噁心 什麼都要演,0,0,0,1,1
功德賴：呼叫三粒冥士，開始抹黑帶風向,0,0,0,1,1
一條龍又來了 噁爆,0,0,0,1,1
好可怕，祝平安康復,1,0,1,0,1
網軍蓬勃發展，榮登新創產業榜首,0,1,1,1,0
又一個綠斗仔,0,0,0,1,1
關鍵字：工人總是愛說我以為?,0,0,0,1,1
網軍,0,0,0,1,1
若是舊大樓很多是隨便亂裝，也沒有安全,0,0,0,1,1
詐騙集團更爽了,0,0,0,1,1
果然不是性 就是lie的垃圾黨,0,0,0,1,1
真的好扯??,0,0,0,1,1
台灣的老舊大樓外牆盆栽招牌冷氣都很危,0,0,0,1,1
賴導表示,0,0,0,1,1
走哪邊都不是,0,0,0,1,1
三小,0,0,0,1,1
笑死，台灣真的好危險,0,0,0,1,1
哥布林綠媒一條龍產業,0,0,0,1,1
說個笑話台灣公安,0,0,0,1,1
罄竹難書,0,0,0,1,1
一條龍服務 夠綠共,0,1,1,1,0
出門看是要挑戰交通意外還是工安,0,0,0,1,1
資產漲幅,0,1,0,0,1
政治迫害,0,0,0,1,1
"側翼,網軍,哥布林",0,0,0,1,1
真的笑死，大小姐錢瞻計畫讓人民最有感的,0,1,0,0,1
這太誇張了...這樣大家走在路上能安心嗎,0,0,0,1,1
嘿啊,0,1,1,1,0
連外國記者都可以set,0,1,0,0,1
老師傅：以前都沒掉阿,0,0,0,1,1
安？教育？還是「高科技」？還是去考察怎麼,0,1,0,0,1
一定是詐騙 尤其是民進黨,0,0,0,1,1
條龍，真的是台灣民主自由的毒瘤耶幹,0,0,0,1,1
百公斤重 天啊 rip,0,0,0,1,1
良知外漏？,0,0,0,1,1
詐騙  薪水,0,0,0,1,1
這麼智障怎麼不連人一起跳下去啊 浪費生命,0,0,0,1,1
叫蔡母豬先出來跪下道歉,0,0,0,1,1
教改廣設大學的 可以順便嗎,0,1,0,0,1
一樣沒救 是非不分的史克魯爾人,0,0,0,1,1
就說民進黨非常會守護台灣了,0,1,0,0,1
反正效果已經有了 呆丸郎不意外,0,1,1,1,0
再繼續僥倖隨便啊!!!人命怎麼賠？,0,0,0,1,1
TVBS有現場照片,1,1,0,0,0
最好,0,1,1,1,0
等公車也可以天降橫禍,0,0,0,1,1
乾 到底能不能出門,0,0,0,1,1
就算運氣好沒直接砸到人 掉在地上炸裂的,0,0,0,1,1
美國專門培養各地暴力 極端組織 然後再扶,0,0,0,1,1
外國加工出口區,0,0,0,1,1
姐姐就在旁邊目睹一切?,0,0,0,1,1
詐騙 房價 物價,0,0,0,1,1
一條龍產業,0,1,0,0,1
原來民進党是柯文哲養的寵物 難怪這麼,0,0,0,1,1
台灣做工的就一群不守法的低端啊,0,0,0,1,1
這三小,0,1,0,0,1
台灣工安,0,0,0,1,1
房價物價啊，一百元買不到一個雞腿便當,0,0,0,1,1
哭了?,0,0,0,1,1
男性在台灣是沒有爭辯的餘地 男生錯就是錯,0,0,0,1,1
NCC表示非造謠,0,0,0,1,1
詐騙啊，國家級詐騙團隊,0,0,0,1,1
一條龍失敗,0,0,0,1,1
台灣人命不值錢啦,0,0,0,1,1
殺人罪了吧,0,0,0,1,1
自產自銷怎麼了嗎,0,0,0,1,1
機？還是說要換機時支架爛了撐不住掉下,0,0,0,1,1
小菸：冷氣不錯,0,1,1,1,0
不要質疑817的智商好嗎,0,1,0,0,1
真的懂玩,0,1,1,1,0
把新聞當成ptt再玩欸，看風向刪文,0,0,0,1,1
詐騙、房價、EE園區,0,0,0,1,1
詐騙 黑道 司法不公 物價,0,0,0,1,1
一定是因為沒有搞好社會安全網,0,0,0,1,1
原來是EE養的,0,0,0,1,1
加工出口區 這比喻笑死,0,0,0,1,1
ncc印象只有人去爬山生火,0,0,0,1,1
從陳瑋豐到現在玩不膩?,0,1,0,0,1
黨霉哪個沒拿過黨的錢？歪國人就不准拿,0,0,0,1,1
三立記者：新聞自由！！！咦??,0,0,0,1,1
勢力在抹黑帶風向,0,0,0,1,1
八卦版又翻車囉,0,0,0,1,1
唉 有時我都分不清楚我是在中國還是台灣,0,0,0,1,1
產業一條龍,1,1,1,1,1
從昨天開始一直冒出來,1,0,0,1,0
#Metoo,0,0,1,0,0
一條龍,1,1,0,0,0
什麼改善,0,0,0,1,1
了是不是,0,0,0,1,1
詐騙行業和黨黑說成白的技巧,0,0,0,1,1
好衰喔??幹  R.I.P.,0,0,0,1,1
錢真是萬能??,0,1,0,0,1
冷氣不錯,0,1,1,1,0
現在我印象有日籍也有美籍洋將吧,1,1,0,0,0
真的太扯了,0,0,0,1,1
好可憐?,0,0,0,1,1
老處女母豬被台大破處,0,0,0,1,1
打錯字。工安,0,0,0,1,1
外國人記者啦 別吵XD,0,1,0,0,1
衰小,0,0,0,1,1
怎麼又是自己人？！,0,0,0,1,1
DPP超有國際觀的 2024非DPP不選！,0,1,0,0,1
死塔綠班哥布林  垃圾一條龍,0,0,0,1,1
笑死 塔綠班怎麼又被抓包,0,0,0,1,1
為什麼道歉 人家信仰反核錯了嗎 #,0,0,0,1,1
17樓 馬的 這重力加速度也太誇張了,0,0,0,1,1
先猜勞檢處晚點會出來作秀開罰,0,0,0,1,1
詐騙之光,0,0,0,1,1
笑死哈哈哈哈哈哈,0,1,1,1,0
照中捷的邏輯來看，新北市政府怎麼會沒,0,0,0,1,1
果然根正苗綠,0,1,0,0,1
共產黨逐漸治理台灣,0,0,0,1,1
賴導!,0,1,0,0,1
這個也抓到了XDDDD,0,1,0,0,1
台灣工安就是個笑話,0,0,0,1,1
詐騙 從上到下 網媒出事抓阿共來擋,0,0,0,1,1
詐騙 豬仔 房價,0,0,0,1,1
完全執政一點屁用都沒有,0,0,0,1,1
黑道跟詐騙還有浮屍？,0,0,0,1,1
台灣人不止主演玩命關頭，絕命終結站也,0,1,0,0,1
樣講?,0,0,0,1,1
又一個絕命終結站 哀   R.I.P.,0,0,0,1,1
這機率...認真丟都不一定砸得到,0,0,0,1,1
市長還在選舉 沒空,0,0,0,1,1
22歲人生很多計畫才要開始就啪沒了,0,0,0,1,1
這篇怎麼沒有塔綠斑 另一篇一堆欸,0,0,0,1,1
垃圾一條龍,0,0,0,1,1
網軍又在洗貼圖,0,0,0,1,1
猴猴選總統,0,0,1,0,0
黨媒與側翼 嘻嘻,0,1,1,1,0
你以為我會意外嗎 嘻嘻,0,1,1,1,0
自己選的政府,0,0,0,1,1
詐騙天堂，政府帶頭詐騙,0,0,0,1,1
御用洋將,0,1,0,0,1
台灣裝冷氣都很克難啊 怎麼看怎麼危險,0,0,0,1,1
原來是自由啊 那沒事了 民進黨罩的,0,1,0,0,1
看來認知作戰根本是自己人嘛,0,0,0,1,1
民主進步黨-導演系-,0,0,0,1,1
知好歹，嘻嘻,0,1,1,1,0
說個笑話：台灣公安,0,0,0,1,1
塔綠班哥布林 八又翻,0,0,0,1,1
台灣工安?跟吊車掉到中捷軌道一樣,0,0,0,1,1
這就是無恥共產党的認知作戰啊,0,0,0,1,1
笑死 八卦翻車,0,0,0,1,1
垃圾政黨，手段有夠噁心,0,0,0,1,1
單位在上 都分北/中/南 但都是上好看的,0,1,1,1,0
讚喔，收錢辦事，NCC不必去查,0,1,0,0,1
自己人,1,0,0,1,0
樣。,0,0,0,1,1
200E好香,1,1,1,1,1
噁心哥布林,0,0,0,1,1
應該要修法禁止冷氣掛外牆,0,0,0,1,1
該成立工安辦公室了嗎？,0,0,0,1,1
這種事還真的會發生 天哪 希望最後沒事,0,0,0,1,1
新埔捷運站2號出口?乾 人人有機會,0,1,1,1,0
極 比當年國民黨還噁心,0,0,0,1,1
這個運作方式跟共產黨沒差別了,0,0,0,1,1
要掛外面,0,0,0,1,1
跟支那一樣欸 用黨養的外國人假裝外媒,0,0,0,1,1
我爸之前被招牌砸中肩膀就骨折了?這個,0,0,0,1,1
笑死，豬油中天,0,1,0,0,1
照片可以不要放那麼大嗎？好噁,0,0,0,1,1
幹 太誇張了,0,0,0,1,1
太神啦 自由,0,1,1,1,0
姊姊會得PTSD吧...QQ,0,0,0,1,1
哥布林的噁心程度,0,0,0,1,1
跟中國的瑞士專家一樣扯淡,0,0,0,1,1
壓力,0,0,0,1,1
詐騙 犯罪,0,0,0,1,1
日本人都叫你三立不要亂翻譯了,0,0,0,1,1
冷氣工人就不重視工安啊，之前不是好幾,0,0,0,1,1
法規方面沒有規範新北市長要加油,0,0,0,1,1
真的很靠北 以後誰敢在外面,0,0,0,1,1
少子化辦公室大成功,1,1,0,0,0
這種出口轉內銷的手法居然2023還能用?,0,0,0,1,1
施工...工安...,0,0,0,1,1
自慰報嘔嘔嘔,0,0,0,1,1
上街頭了啊，政府罔顧人命,0,0,0,1,1
塔綠班最多,0,1,0,0,1
詐騙 黑道 房價,0,0,0,1,1
一條,1,0,0,1,0
捷和藍京那一棟嗎?,0,0,0,1,1
党證的台灣價值創下歷史新高,0,1,0,0,1
柯粉翻車柯粉崩潰,0,0,0,1,1
嘻嘻 蔡導翻車,0,1,1,1,0
一條龍達成了 誰管你風向,0,1,0,0,1
党才說要檢討結果這次大選一樣照舊,0,0,0,1,1
??師傅大概心想應該是我要下去的,0,0,0,1,1
新北 沒事 發生在南部再說,0,0,0,1,1
我只知道多了一個騙子民眾黨,0,0,0,1,1
原來是黨御用的 我們這裡是中共嗎 民,0,0,0,1,1
交通死亡人數 詐騙人數,0,0,0,1,1
要不要看中時？,0,1,0,0,1
出口轉內銷，贏麻了,0,1,0,0,1
然後每個側翼都說自己是轉發就好了 垃圾,0,0,0,1,1
訂麵線系統，這個以前都沒人想過。網軍那,0,0,0,1,1
厲害了 綠共是玩真的,0,1,0,0,1
詐騙和EE園區出貨數量,0,0,0,1,1
這党造假不是一天兩天的事了,0,0,0,1,1
阿彌陀佛,0,1,1,1,0
去的,0,0,0,1,1
22歲 就這樣死的莫名奇妙,0,0,0,1,1
房價 詐騙犯 黑道 網軍,0,0,0,1,1
哥布林又在造假了,0,0,0,1,1
新聞一條龍，自產自銷阿,0,1,1,1,0
無恥,0,0,0,1,1
台北這八年來進步多少？,0,0,0,1,1
室外機直接砸落 天啊,0,0,0,1,1
哇喔 冷氣超重直接砸頭...,0,0,0,1,1
呵呵 出口轉內銷,0,1,0,0,1
ㄍ___    絕命終結站,0,0,0,1,1
啦？？？,0,0,0,1,1
隊都不知道第幾版了，更不簡單,0,0,0,1,1
熟悉的三明治最對味。,0,1,1,1,0
先進國家都不在反核了?. 愛一定不夠,0,0,0,1,1
者 黨的人才真多,0,1,0,0,1
你現在手機不是還有電，在那叫什麼,0,0,0,1,1
賴導厲害了，真會導,0,1,0,0,1
等個公車被砸死真的神扯?,0,0,0,1,1
上一篇砸死這篇命危,0,0,0,1,1
新北??,0,0,0,1,1
詐騙 非常有感,0,0,0,1,1
靠夭 等個公車就直接前往天堂路?= =,0,0,0,1,1
股市歷史破萬點6年了，很好奇樓主是外國,0,1,0,0,1
這很共產黨 沒問題啊,0,1,0,0,1
窮鬼死刁民只花得起香蕉請猴子裝機,0,0,0,1,1
詐騙案件吧 假新聞,0,0,0,1,1
詐騙手法,0,0,0,1,1
"小英,想想那邊很多洋將",1,0,1,0,1
詐騙.....,0,0,0,1,1
下面要淨空一塊空間啊,0,0,0,1,1
乾?,0,0,0,1,1
大內宣 對岸現在都會拉外國人幫忙背書說,0,0,0,1,1
然後詐騙主謀一堆不起訴逍遙法外 有罪的,0,0,0,1,1
安息吧。小女生才22歲欸。人生還沒開始,1,0,1,0,1
醫師 律師 教授 現在多加一個外國記,0,0,0,1,1
#賴導 #LIE導 #中共同路人 #詐騙DPP,0,0,0,1,1
哥布林洋將XDD,0,1,0,0,1
執政黨網軍側翼越來越猛,0,0,0,1,1
臺灣到底什麼時候才能重視工安,0,0,0,1,1
塔綠班字典裡面沒有道歉,0,0,0,1,1
記者,0,0,0,1,1
光電板 房價詐騙 物價 死亡人數 少子化,0,0,0,1,1
詐騙啊 騙39億一下子就放了 還無保釋,0,0,0,1,1
央媒 哈哈哈 早說民進黨是老共栽培的,0,0,1,0,0
此地無銀大爛黨,0,0,0,1,1
omg,0,1,0,0,1
賴清德導演 請停止自導自演,0,0,0,1,1
綠媒,0,0,0,1,1
吃案,0,0,0,1,1
根本中共才會做的事,0,0,0,1,1
雙腿骨折是像卡通那樣直接扁掉嗎,0,0,0,1,1
夭壽喔，嚇死,0,0,0,1,1
黨的賤招,0,0,0,1,1
東森的新聞寫雙腿骨折頭破了 失去生命跡,0,0,0,1,1
應該g了 直接辦後事了,0,0,0,1,1
出口轉內銷都看幾年了,0,0,0,1,1
本來就該中央控管的 全台公安都是笑話,0,0,0,1,1
難怪要把中天電視台撤照,0,0,0,1,1
讓工人在外面爬來爬去就很危險了 何況掉下,0,0,0,1,1
說話,0,0,0,1,1
自產自銷，綠媒一貫的手法,0,0,0,1,1
自產自銷一條龍 党媒正常發揮,0,1,1,1,0
民進黨果然是中國人的政黨,0,0,0,1,1
高材生就這樣沒了,0,0,0,1,1
哪個垃圾亂施工,0,0,0,1,1
一條龍 党媒死全家,0,0,0,1,1
你敢叫大小姐道歉？,0,0,0,1,1
"這些媒體真的很噁心,成天造謠",0,0,0,1,1
別比,0,1,0,0,1
女(母豬)權,0,0,0,1,1
養狗千日，用於一時,0,0,0,1,1
騎樓沒地方走吧,0,0,0,1,1
笑死，曾幾何時自由時報也爛到跟小紅,0,0,0,1,1
猴猴做歹誌,0,0,0,1,1
乾，也太衰了吧,0,0,0,1,1
哦還有房價,0,1,1,1,0
哥布靈的等級,0,0,0,1,1
置。,0,0,0,1,1
三明治綠頭殼不愧是日本人認證,0,1,1,1,0
台灣工人都這麼智障 難怪雇主都要請外勞,0,0,0,1,1
畜牲,0,0,0,1,1
是說侯現在還能回去處理市政嗎 還是已經,0,0,0,1,1
幹超可怕,0,0,0,1,1
正常發揮,0,1,0,0,1
然後就 瘋狂轉傳轉載,1,0,0,1,0
原來是自己人,0,0,0,1,1
詐騙啊！露臉拍詐騙廣告也沒事,0,0,0,1,1
五告雖,0,0,0,1,1
這些工人一直都視人命為草芥啊,0,0,0,1,1
共產黨,0,0,0,1,1
綠蛆網軍的騙術,0,0,0,1,1
這時候NCC又在睡了 呵,0,1,0,0,1
外國友人,0,0,0,1,1
以前這種都是安裝工人摔死,0,0,0,1,1
都啥鬼天氣了 前幾天還給我3點停到6點,0,0,0,1,1
些低能人民,0,0,0,1,1
我們榮升詐騙天堂啊！,0,0,0,1,1
冷氣機該不會是用手扛到外牆上裝吧,0,0,0,1,1
絕命終結站,0,0,0,1,1
施工品質 有沒有照片？公安狀況有沒有管,0,0,0,1,1
外國記者是真的啦 但跟綠共有沒有關,0,0,0,1,1
反核的現在在吹冷氣嗎？,0,0,0,1,1
商囉,0,0,0,1,1
老師傅衝三小,0,1,0,0,1
你敢質疑黨,0,0,0,1,1
詐騙阿 整個組織跟兇殘度大起飛,0,0,0,1,1
國外一條龍,0,1,0,0,1
出來踩腳踏車發電還實際一點點,0,0,0,1,1
党養的洋鬼,0,0,0,1,1
人生無常。把握當下。,0,1,0,0,1
幹你娘 台灣公安就是一堆低端都做不好,0,0,0,1,1
施工不慎笑死 這種爛藉口真好用,0,0,0,1,1
我要是家屬一定殺光那個師傅全家,0,0,0,1,1
買鳥籠當然冷氣掛外面偷空間用阿,0,0,0,1,1
歧視去遊行活動的男性！,0,0,0,1,1
下亂七八糟,0,0,0,1,1
看市長要幾天才動作 怒！！！,0,0,0,1,1
2023 厄靈亂世 離譜到家,0,0,0,1,1
你叫817萬白癡出來回答,0,0,0,1,1
中山南路樹蔭下明明就不少女生,0,0,0,1,1
很可怕 ....,0,0,0,1,1
沒用啦，報導已經流傳開了,0,0,0,1,1
沒事兒,0,1,0,0,1
新北Zzzzzzzzz,0,1,1,1,0
側翼展翅翱翔,1,1,1,1,1
翻車啦,0,0,0,1,1
市長忙選舉囉,0,0,0,1,1
涼了啦，哥布林們，可悲呀,0,0,0,1,1
加油,1,1,1,1,1
這跟對面垃圾中共黨操作媒體到底有什,0,0,0,1,1
死忠的看不懂英文啦，很好騙,0,0,0,1,1
網軍吧,0,0,0,1,1
去參加的不都太監宮女,0,0,0,1,1
還是說 男性抗議就是低劣的臭肥宅?,0,0,0,1,1
幹你娘 一個22歲的生命就這樣倒了 垃,0,0,0,1,1
又是黨媒一條龍! 咦~怎麼會說又呢?,0,0,0,1,1
聞自由,0,1,0,0,1
幹 這種應該可以避免的,0,0,0,1,1
外國記者 結果是民進黨派去的,0,0,0,1,1
同一個出口 飯店施工鷹架也很危險 離出,0,0,0,1,1
就是沒概念才會去做冷氣 還能要求啥？,0,0,0,1,1
新聞製造業,0,0,0,1,1
lie導繼續裝死 噁心,0,0,0,1,1
怕 這太扯,0,0,0,1,1
詐騙 黑道 娃娃機,0,0,0,1,1
工人：先脫產，反正工地領現就好，沒事兒,0,0,0,1,1
絕命終結站?.,0,0,0,1,1
瑋豐國際版,0,0,1,0,0
自己人一起寫假新聞，反正裁判也是自,0,0,0,1,1
看到大家的推文，讓我想到一個不那麼負面,0,1,0,0,1
這年頭垃圾越來越多了呢,0,0,0,1,1
外國記者、美國教授、美女醫生  ，党最喜,0,1,1,1,0
你他媽的...冷氣掉下來H,0,0,0,1,1
網軍的經費,0,0,0,1,1
垃圾綠共,0,0,0,1,1
公安廢到笑,0,0,0,1,1
自己選的政府怪誰？台灣工安哈,0,0,1,0,0
車可以想停哪就停哪,0,1,0,0,1
同婚，軍公教年改，限塑，加蛋15元,0,0,0,1,1
物價 狗官口袋,0,0,0,1,1
黨真心強 一堆詐騙指引,0,0,0,1,1
党產,0,0,0,1,1
党媒一條龍抹黑手法,0,0,0,1,1
霉體業，直接在影音平台、社群網站,0,0,0,1,1
不是摔人就是摔吊具、機器,0,0,0,1,1
意外總是來得特別快,0,1,0,0,1
真的有人會看新聞喔？台灣基本上有話語,0,0,0,1,1
連外國記者都可以造假？厲害了,0,1,0,0,1
操弄媒體的哥布林真噁~~~~,0,0,0,1,1
幹這三小拉,0,0,0,1,1
中央的責任比較大,0,0,0,1,1
這施工不用圍起來啊，太誇張了吧,0,0,0,1,1
太扯了吧,0,0,0,1,1
根本義和團,0,0,0,1,1
行人死亡數,0,0,0,1,1
笑死，這就是不會看風向的白目XD,0,0,0,1,1
跟某日本支報一樣,0,0,0,1,1
"看大樓的外觀,應該是有個小平台可以擺放",0,1,1,1,0
刪三小 留著讓大家笑笑啊,0,1,0,0,1
柯文哲，據說是當過國外報社編輯...還要,0,0,0,1,1
全部都很進步,0,1,1,1,0
DPP洋將真的不少，話說那位波蘭斯坦該,1,1,0,0,0
大外宣用的 結果還是拿來內戰了,0,0,0,1,1
也太可怕,0,0,0,1,1
噁爛黨做噁爛事,0,0,0,1,1
自己選的,0,1,0,0,1
管它的晚上側翼有題目攻擊政敵就好了,0,0,0,1,1
詐騙 炒房,0,0,0,1,1
好噁心,0,0,0,1,1
幹 一個年輕女學生就這樣死了,0,0,0,1,1
負債增加最多,0,0,0,1,1
齁齁齁齁。。。,0,0,1,0,0
資源在手 風向帶起來 就問怎麼輸,0,0,0,1,1
綠色宇宙多一成員：外國記者人,0,1,0,0,1
Scam,0,0,0,1,1
民主的黑道！！,0,0,0,1,1
怕被查到這些基金會是不是有拿政府錢吼,0,0,0,1,1
台積電市佔變世界第一,0,1,0,0,1
考,0,0,0,1,1
厲害了，我的黨,0,1,0,0,1
真的慘，對方能賠個幾十萬了不起，關個,0,0,0,1,1
進黨執政才8年一直害我有錯覺,0,0,0,1,1
這種人應該死刑,0,0,0,1,1
下輩子不要住新北囉,0,0,0,1,1
大樓裝空調空間不友善,0,0,0,1,1
黨管網路 不要太不滿,0,0,0,1,1
警察打人,0,0,0,1,1
8800億花在哪裡這不就出來了,0,0,0,1,1
這救回來也 想到就難過,0,0,0,1,1
體育,1,1,0,0,0
怎麼又是新北 工安沒人監督嗎,0,0,0,1,1
老師傅沒照工安走吧,0,0,0,1,1
重傷急救中 上一篇寫遭砸死？,0,0,0,1,1
怎麼沒有血,0,0,0,1,1
?可怕,0,0,0,1,1
表演,0,0,0,1,1
幫QQ了 台灣工安到底..,0,0,0,1,1
@@太絕命終結站了吧,0,0,0,1,1
太恐怖了吧,0,0,0,1,1
都是吱己人,0,0,0,1,1
經濟20年來最好啊,1,1,1,1,1
加害人人權有非常顯著的提升,0,1,0,0,1
幹 新聞也有洋將XDD,0,1,0,0,1
會刪文是他媽家裡死人喔？？幹你娘垃圾,0,0,0,1,1
媒體造謠力,0,0,0,1,1
人均2萬1變3萬2超車南韓,0,1,0,0,1
詐騙、房價、網軍及政客臉皮厚度,0,0,0,1,1
17樓..,0,0,0,1,1
大內宣一條龍 可以下架三明治了沒,0,0,0,1,1
哥布林日常，卑鄙下賤,0,0,0,1,1
祖國完全統一 中華民族偉大復興,0,1,1,1,0
詐騙到現金買房都沒人覺得異常,0,0,0,1,1
沖天炮,0,1,0,0,1
本於務實的態度 現在還是先去預習党史,0,1,1,1,0
不必去查,0,0,0,1,1
菜陰魂執政下的台灣什麼怪事都有,0,0,0,1,1
行人地獄等公車都會被砸死,0,0,0,1,1
假日本人..假加拿大人..還有啥?,0,0,0,1,1
台灣一條龍！,0,1,0,0,1
象,0,0,0,1,1
市長沒空你們要自立自強,0,0,0,1,1
跟開什麼辦公室根本無關 是本來辦的就比,0,0,0,1,1
詐騙 博弈 網軍,0,0,0,1,1
行人除了記錄器外還要加一個小心高樓冷氣,0,1,0,0,1
幹有夠恐怖,0,0,0,1,1
大內宣 和共產黨一樣欸,0,0,0,1,1
外國人也愛新台幣，嘻嘻,0,1,1,1,0
最驕傲的政績 超前部署 台灣不缺電 國,0,1,1,1,0
斷交國吧,0,0,0,1,1
原來民進黨連側翼都有洋屌,0,0,0,1,1
權的 只剩黨媒了不是嗎,0,0,0,1,1
仇女柯粉,0,0,0,1,1
詐騙 虐殺,0,0,0,1,1
詐騙到名聞國際，不簡單；打詐國家,0,0,0,1,1
為什麼要刪？？ 一條龍新聞有差嗎 嘻嘻,0,0,1,0,0
這次不是工人掉下來,0,0,0,1,1
砸還砸到頭很難救了......,0,0,0,1,1
罪犯的人權,0,0,0,1,1
樓上笑死 遙遠東方一條龍,0,1,0,0,1
厲害厲害，自產自銷的綠新聞產業一條龍,0,1,1,1,0
靠 這衰到爛,0,0,0,1,1
原來又是一個瑋豐+楊敏,0,1,0,0,1
八又翻 綠蛆高潮噴汁,0,0,0,1,1
幹話,0,0,0,1,1
不意外 老手段了,0,0,0,1,1
市長應馬上停止所有選務工作，執行調查,0,0,0,1,1
不是高雄 那沒事了?請繼續檢討高雄,0,0,0,1,1
樓下專長是啥,0,0,0,1,1
詐騙國家隊,0,0,0,1,1
綠能你不能,0,0,0,1,1
死全家 幹,0,0,0,1,1
繼續炒房 房子越蓋越高 公共空間越來越,0,0,0,1,1
明顯過失還要一審二審慢慢玩，幹,0,0,0,1,1
賴導,0,0,0,1,1
娼妓,0,0,0,1,1
共產黨 都是靠 宣傳 不奇怪,0,0,0,1,1
出口轉內銷我真的笑到歪腰,0,1,0,0,1
造假造到外國去喔,0,0,0,1,1
而且通常還沒錢賠人家家屬...,0,0,0,1,1
詐,0,0,0,1,1
我願意捐錢 盡點心力。,0,1,1,1,0
超貸？,0,0,0,1,1
DPP不是最愛用這招嗎  律師  美女醫  都不敢,0,0,0,1,1
絕命終結站..,0,0,0,1,1
詐騙，超級明顯,0,0,0,1,1
身為一個媒體 評論公民運動竟然是評論性,0,0,0,1,1
民進黨要倒，台灣才會好,0,0,0,1,1
中共為什麼可以洗腦這麼多人 看民進黨,0,0,0,1,1
史紀錄了，再來就是跳電比較多次,0,0,0,1,1
一套，人數有漲進，但技術沒有。,0,0,0,1,1
以後在再教育營裡面用的到,0,1,0,0,1
蔡英文下跪再叫我,0,0,0,1,1
噁心,0,0,0,1,1
隨便一個磁磚下來就掰了 這個還是冷氣機,0,0,0,1,1
市長呢？,0,0,0,1,1
自由 呵呵,0,1,1,1,0
用新聞散播謠言不會被處罰 這就是台灣,0,0,0,1,1
什麼時候可以清掉三民自 這些垃圾媒體,0,0,0,1,1
綠共真的不是叫假的！搞不好還更厲害,0,1,0,0,1
扯市長是腦袋? 全台灣工安都是這德性,0,1,0,0,1
被消失的外國記者？,0,0,0,1,1
817萬選票台灣選舉史上最高票的笑話,0,0,0,1,1
民進黨,1,0,0,1,0
原來吸黨的奶水啊，難怪,0,0,0,1,1
這次不找屎板冥夫了嗎,0,0,0,1,1
台灣公安,0,0,0,1,1
NCC還在睡？,0,0,0,1,1
三民自不意外呀,0,1,0,0,1
原來啊,0,1,0,0,1
重罰兩萬謝謝指教,0,0,0,1,1
房價早就一直漲了，這七年詐騙變多超有感,0,0,0,1,1
台灣建物真的有必要好好重新設計一次,0,0,0,1,1
詐騙、黑道、網軍、me too,0,0,0,1,1
工人讓人看不起就是這樣 把人命當啥,0,0,0,1,1
詐騙跟黑道吧，這兩個從事人員都增加了,0,0,0,1,1
以上 只會吹冷氣嘴砲不去遊行的白色青年,0,0,0,1,1
蔡導,0,1,0,0,1
你看過共黨道歉過嗎? 做白日夢呢,0,0,0,1,1
17樓 有夠可怕,0,0,0,1,1
817選的，自己選的,0,1,0,0,1
民進黨為了洗台灣人 真的無所不用其,0,0,0,1,1
詐騙  司法改革？改你媽個b,0,0,0,1,1
